0000032119;2023/04/15;flight
Book0000508023;2023/01/16;reservation
0000163839;2023/01/11;flight
0000184574;2022/11/16;flight
0000165882;2022/06/06;flight
0000071498;2022/03/22;flight
Book0002949016;2022/03/22;reservation
0000145070;2022/03/20;flight
Book0005988859;2022/03/20;reservation
0000031246;2022/01/02;flight
0000024336;2021/09/18;flight
Book0001002620;2021/09/18;reservation
0000107799;2021/09/01;flight
0000109685;2021/08/16;flight
0000166490;2021/08/07;flight
0000147044;2021/04/18;flight
0000164286;2021/04/04;flight
